ITEM1,ITEM2,RATIO
DIN128 А Шайба пружинная одновитковая изогнутая М8 А4-Нерж_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба М8 А4 нерж DIN 128 A / ГОСТ 6402-70,0.67

Болт / Винт М12х30 А2 DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М12х30 А2 нержавеющий DIN 912,0.56

Болт / Винт М12х40 А2 DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М12х40 А2 нержавеющий DIN 912,0.56

Болт / Винт М3х10 А4 DIN 912 / ISO 4762 / ГОСТ 11738-84,Винт с внутренним шестигранником и цилиндрической головкой М3x10 А4 DIN 912 ГОСТ 11738-84,0.55

Болт / Винт М3х20 А2 нерж DIN 912 ISO 4762 ГОСТ 11738-84,Болт с внутренним шестигранником М3х20 нержавеющий А2 DIN 912,0.5

Болт / Винт М6х16 А2 нерж DIN 912,Болт с внутренним шестигранником М6х16 нержавеющий А2 DIN 912,0.62
Болт / Винт М6х16 А2 нерж DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М6х16 А2 нержавеющий DIN 912,0.56

Болт / Винт М6х20 А2 нерж DIN 912,Болт имбус 6х20 нерж. DIN 912 сталь A2&,0.62
Болт / Винт М6х20 А2 нерж DIN 912,Винт с цилиндрической головкой и внутренним шестигранником М6х20 А2 нержавеющий DIN 912,0.56

Болт / Винт М6х30 А2 нерж DIN 912,Болт имбус 6х30 нерж. DIN 912 сталь A2&,0.62
Болт / Винт М6х30 А2 нерж DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М6х30 А2 нержавеющий DIN 912,0.56

Болт / Винт М6х40 А4-80 нерж DIN 912 / ISO 4762 / ГОСТ 11738-84,Винт М6х40 А4-Нерж DIN 912 / ГОСТ 11738-84,0.67

Болт / Винт М6х50 А2 нерж DIN 912,Винт с цилиндрической головкой и внутренним шестигранником М6х50 А2 нержавеющий DIN 912,0.56

Болт / Винт М8х16 А2 DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М8х16 А2 нержавеющий DIN 912,0.56

Болт / Винт М8х20 А2 нерж DIN 912 / ISO 4762 / ГОСТ 11738-84,Винт с цилиндрической головкой и внутренним шестигранником М8х20 А2 нержавеющий DIN 912,0.45

Болт / Винт М8х30 А2 DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М8х30 А2 нержавеющий DIN 912,0.56

Болт / Винт М8х35 А2 DIN 912 / ISO 4762,Болт с цилиндрической головкой и внутренним шестигранником М8х35 А2 нержавеющий DIN 912,0.5

Болт / Винт М8х40 А2 DIN 912 / ISO 4762 / ГОСТ 11738-84,Винт М8х40 А2 нерж. DIN 912,0.56

Болт / Винт М8х50 А2 нержавеющий DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М8х50 А2 нержавеющий DIN 912,0.56

Болт / Винт М8х60 А2 нерж DIN 912 ГОСТ 11738-84,Винт с цилиндрической головкой и внутренним шестигранником М8х60 А2-Нерж DIN 912,0.5

Болт / Винт М8х90 А2 DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М8х90 А2 нержавеющий DIN 912,0.56

Болт / винт с внутренним шестигранником М10х120 нержавеющий А2 DIN 912,Винт с внутренним шестигранником М10х120 нержавеющий А2 DIN 912,0.75

Болт DIN7991 М10*40,Винт DIN7991 М10*40_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN7991 М10*50_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с потайной головкой и внутренним шестигранником М10х50 DIN 7991,0.44

Болт DIN7991 М12*100_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с потайной головкой и внутренним шестигранником М12х100 DIN 7991,0.44

Болт DIN7991 М12*35_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN7991 М12*35_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN7991 М12*50_НЕ_ИСПОЛЬЗУЕТСЯ,Винт c потайной головкой М12х50 DIN 7991,0.5

Болт DIN7991 М4*10_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN7991 М4*10_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN7991 М4*16_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с потайной головкой и внутренним шестигранником М4х16 DIN 7991,0.44

Болт DIN7991 М4*30_НЕ_ИСПОЛЬЗУЕТСЯ,Винт М4х30 DIN 7991 высокопрочный,0.57

Болт DIN7991 М4*50_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN7991 М4*50_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN7991 М6*20_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с потайной головкой и внутренним шестигранником М6х20 DIN 7991,0.44
Болт DIN7991 М6*20_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с потайной головкой и внутренним шестигранником М6х20 DIN 7991_НЕ_ИСПОЛЬЗУЕТСЯ,0.44

Болт DIN7991 М6*30_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с потайной головкой и внутренним шестигранником М6х30 DIN 7991,0.44

Болт DIN7991 М6*40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с потайной головкой и внутренним шестигранником М6х40 DIN 7991,0.44

Болт DIN7991 М8*100_НЕ_ИСПОЛЬЗУЕТСЯ,Винт c потайной головкой М8х100 DIN 7991,0.5

Болт DIN7991 М8*40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN7991 М8*40_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN912 М10*30_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М10х30 DIN 912_НЕ_ИСПОЛЬЗУЕТСЯ,0.44

Болт DIN912 М10*40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М10х40 DIN 912_НЕ_ИСПОЛЬЗУЕТСЯ,0.44

Болт DIN912 М10*50_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М10х50 DIN 912,0.44

Болт DIN912 М12*60_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М12х60 DIN 912_НЕ_ИСПОЛЬЗУЕТСЯ,0.44

Болт DIN912 М4*16_НЕ_ИСПОЛЬЗУЕТСЯ,Винт c внутренним шестигранником М4х16 DIN 912,0.5

Болт DIN912 М4*35_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN912 М4*35_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN912 М4*40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М4х40 DIN 912,0.44

Болт DIN912 М5*25_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М5х25 DIN 912,0.44

Болт DIN912 М5*30_НЕ_ИСПОЛЬЗУЕТСЯ,Винт оцинкованный М5х30 DIN 912,0.57

Болт DIN912 М6*20_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М6х20 DIN 912,0.44

Болт DIN912 М6*25_НЕ_ИСПОЛЬЗУЕТСЯ,Винт М6х25 цинк DIN 912 ГОСТ 11738-84,0.5
Болт DIN912 М6*25_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М6х25 DIN 912,0.44

Болт DIN912 М6*30_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М6х30 DIN 912,0.44

Болт DIN912 М6*35_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN912 М6*35_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN912 М6*40_НЕ_ИСПОЛЬЗУЕТСЯ,Болт с внутренним шестигранником М6х40 DIN 912,0.71
Болт DIN912 М6*40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN912 М6х40_НЕ_ИСПОЛЬЗУЕТСЯ,0.57
Болт DIN912 М6*40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М6х40 DIN 912,0.44

Болт DIN912 М6*50_НЕ_ИСПОЛЬЗУЕТСЯ,Винт оцинкованный М6х50 DIN 912,0.57

Болт DIN912 М6*55_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М6х55 DIN 912,0.44

Болт DIN912 М8*20_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN912 М8*20_НЕ_ИСПОЛЬЗУЕТСЯ,0.57
Болт DIN912 М8*20_НЕ_ИСПОЛЬЗУЕТСЯ,Винт оцинкованный М8х20 DIN 912,0.57

Болт DIN912 М8*25_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN912 М8*25_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN912 М8*30_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М8х30 DIN 912,0.44

Болт DIN912 М8*35_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN912 М8*35_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN912 М8*40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт оцинкованный М8х40 DIN 912,0.57
Болт DIN912 М8*40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М8х40 DIN 912,0.44

Болт DIN912 М8*60_НЕ_ИСПОЛЬЗУЕТСЯ,Винт оцинкованный М8х60 DIN 912,0.57

Болт DIN912 М8*65_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М8х65 DIN 912,0.44

Болт имбус 4х16 нерж. DIN 912 сталь A2&_НЕ_ИСПОЛЬЗУЕТСЯ,Болт с цилиндрической головкой и внутренним шестигранником М4х16 А2 нержавеющий DIN 912,0.56

Болт имбус 5х30 нерж. DIN 912 сталь A2&,Винт М5х30 А2 нерж. DIN 912,0.5

Болт имбус 8х25 нерж. DIN 912 сталь A2&_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М8х25 А2-Нерж DIN 912,0.4

Болт М10х35 оцинкованный DIN 933 / ГОСТ 7798-70,Болт с шестигранной головкой и полной резьбой М10х35 DIN 933,0.56

Болт М10х50 10.9 цинк DIN 933 / ISO 4017 / ГОСТ 7798-70,"Болт с шестигранной головкой и полной резьбой М10х50 10,9 DIN 933",0.6

Болт М10х60 Zn DIN 933 ГОСТ 7798-70 ISO 4017,Болт с шестигранной головкой и полной резьбой М10х60 DIN 933,0.5

Болт М10х80 А4 DIN 933 / ГОСТ 7798-70,Болт М10х80 А4-80 DIN 933 / ГОСТ 7798-70,0.86

Болт М12х120 А2 DIN 931 ГОСТ 7798-70,Болт с шестигранной головкой и полной резьбой М12х120 А2-нерж DIN 933 / ISO 4017 / ГОСТ 7798-70,0.5

Болт М12х120 А2 нерж. DIN 933,Болт с шестигранной головкой и полной резьбой М12х120 нержавеющий А2 DIN 933,0.62
Болт М12х120 А2 нерж. DIN 933,Болт с шестигранной головкой и полной резьбой М12х120 А2-нерж DIN 933 / ISO 4017 / ГОСТ 7798-70,0.5

Болт М12х25 А4 DIN 933,Болт с шестигранной головкой и полной резьбой М12х25 А4-80 нержавеющий DIN 933,0.62

Болт М12х50 А2 нерж DIN 933 ISO 4017 ГОСТ 7798-70,Болт М12х50 А2 нерж. DIN 933,0.62

Болт М12х60 Zn DIN 933,Болт с шестигранной головкой и полной резьбой М12х60 DIN 933,0.62

Болт М12х90 A2 DIN 933,Болт М12х90 А2 DIN 933,0.83

Болт М16х100 Zn DIN 933 / ГОСТ 7798-70,Болт оцинкованный М16х100 DIN 933,0.71

Болт М16х50 Zn DIN 933,Болт с шестигранной головкой и полной резьбой М16х50 DIN 933,0.62

Болт М24х100 Zn DIN 933 / ГОСТ 7798-70,Болт с шестигранной головкой и полной резьбой М24х100 DIN 933,0.56

Болт М4х50 Zn DIN 933 / ГОСТ 7798-70 / ISO 4017 (EUR),Болт с шестигранной головкой и полной резьбой М4х50 оцинкованный DIN 933 / ISO 4017 (EUR),0.64

Болт М5х50 А2 нерж. DIN 933,Болт с шестигранной головкой и полной резьбой М5х50 А2 нержавеющий DIN 933 / ISO 4017,0.56

Болт М6х25 Zn DIN 933 ГОСТ 7798-70 ISO 4017,Болт с шестигранной головкой М6х25 DIN 933_НЕ_ИСПОЛЬЗУЕТСЯ,0.56

Болт М6х30 А4-80 DIN 933 ISO 4017 ГОСТ 7798-70,Болт с потайной головкой и внутренним шестигранником М6x30 А4 DIN 933,0.5

Болт М6х40 А4 ГОСТ 7798-70,Болт с шестигранной головкой и полной резьбой М6х40 А4-80 DIN 933 / ГОСТ 7798-70,0.56

Болт М6х50 Zn DIN 933 / ГОСТ 7798-70 / ISO 4017,Болт оцинкованный М6х50 DIN 933,0.62
Болт М6х50 Zn DIN 933 / ГОСТ 7798-70 / ISO 4017,Болт с шестигранной головкой и полной резьбой М6х50 DIN 933,0.5

Болт М6х50 А4 DIN 933 / ГОСТ 7798-70,Болт М6х50 А4 ГОСТ 7798-70,0.71

Болт М8х100 оцинкованный DIN 933 / ISO 4017 / ГОСТ 7798-70,Болт с шестигранной головкой и полной резьбой М8х100 DIN 933,0.5

Болт М8х120 оцинкованный DIN 933 / ГОСТ 7798-70,Болт с шестигранной головкой М8х120 DIN 933,0.62

Болт М8х25 оцинкованный DIN 933 / ISO 4017 / ГОСТ 7798-70,Болт оцинкованный М8х25 DIN 933,0.62
Болт М8х25 оцинкованный DIN 933 / ISO 4017 / ГОСТ 7798-70,Болт с шестигранной головкой и полной резьбой М8х25 DIN 933,0.5

Болт М8х40 Zn DIN 933 ГОСТ 7798-70 ISO 4017,Болт оцинкованный М8х40 DIN 933,0.62
Болт М8х40 Zn DIN 933 ГОСТ 7798-70 ISO 4017,Болт с шестигранной головкой и полной резьбой М8х40 DIN 933,0.5
Болт М8х40 Zn DIN 933 ГОСТ 7798-70 ISO 4017,Болт с шестигранной головкой и полной резьбой М8х40 оцинкованный DIN 933,0.5

Болт М8х40 А2 нерж. DIN 933,Болт с шестигранной головкой и полной резьбой М8х40 А2 нержавеющий DIN 933,0.62

Болт М8х50 Zn DIN 933 / ГОСТ 7798-70,Болт с шестигранной головкой и полной резьбой М8х50 оцинкованный DIN 933 / ISO 4017,0.5

Болт оцинкованный М10х100 DIN 933,Болт с шестигранной головкой и полной резьбой М10х100 оцинкованный DIN 933,0.62

Болт оцинкованный М12х120 DIN 933,Болт с шестигранной головкой и полной резьбой М12х120 оцинкованный DIN 933 ISO 4017,0.56

Болт оцинкованный М12х70 DIN 933,Болт с шестигранной головкой и полной резьбой М12х70 DIN 933,0.62

Болт оцинкованный М14х60 DIN 933,Болт с шестигранной головкой М14х60 DIN 933_НЕ_ИСПОЛЬЗУЕТСЯ,0.71

Болт оцинкованный М16х80 DIN 933,Болт с шестигранной головкой М16х80 DIN 933,0.71

Болт оцинкованный М3х16 DIN 933,Болт с шестигранной головкой М3х16 DIN 933,0.71

Болт оцинкованный М3х20 DIN 933,Болт с шестигранной головкой и полной резьбой М3х20 DIN 933,0.62

Болт оцинкованный М3х30 DIN 933,Болт с шестигранной головкой М3х30 DIN 933_НЕ_ИСПОЛЬЗУЕТСЯ,0.71

Болт оцинкованный М4х12 DIN 933,Болт с шестигранной головкой М4х12 DIN 933_НЕ_ИСПОЛЬЗУЕТСЯ,0.71

Болт оцинкованный М4х16 DIN 933,Болт с шестигранной головкой М4х16 DIN 933,0.71

Болт оцинкованный М4х20 DIN 933,Болт с шестигранной головкой М4х20 DIN 933,0.71
Болт оцинкованный М4х20 DIN 933,Болт с шестигранной головкой и полной резьбой М4х20 мм DIN 933 ISO 4017,0.56

Болт оцинкованный М4х25 DIN 933,Болт с полной резьбой М4х25 DIN 933,0.71
Болт оцинкованный М4х25 DIN 933,Болт с шестигранной головкой М4х25 DIN 933_НЕ_ИСПОЛЬЗУЕТСЯ,0.71

Болт оцинкованный М4х30 DIN 933,Болт с шестигранной головкой М4х30 DIN 933,0.71

Болт оцинкованный М5х16 DIN 933,Болт с шестигранной головкой и полной резьбой М5х16 DIN 933,0.62

Болт оцинкованный М5х20 DIN 933,Болт с шестигранной головкой и полной резьбой М5х20 DIN 933,0.62

Болт оцинкованный М5х25 DIN 933,Болт с полной резьбой М5х25 DIN 933,0.71
Болт оцинкованный М5х25 DIN 933,Болт с шестигранной головкой и полной резьбой М5х25 DIN 933,0.62

Болт оцинкованный М5х35 DIN 933,Болт с шестигранной головкой и полной резьбой М5х35 DIN 933,0.62

Болт оцинкованный М5х50 DIN 933,Болт с шестигранной головкой М5х50 DIN 933,0.71
Болт оцинкованный М5х50 DIN 933,Болт с шестигранной головкой и полной резьбой М5х50 оцинкованный DIN 933 / ISO 4017,0.56

Болт оцинкованный М6х30 DIN 933,Болт с шестигранной головкой М6х30 DIN 933,0.71
Болт оцинкованный М6х30 DIN 933,Болт с шестигранной головкой и полной резьбой М6х30 оцинкованный DIN 933,0.62

Болт оцинкованный М8х16 DIN 933,Болт с шестигранной головкой и полной резьбой М8х16 DIN 933,0.62

Болт оцинкованный М8х20 DIN 933,Болт с шестигранной головкой и полной резьбой М8х20 DIN 933,0.62

Болт оцинкованный М8х30 DIN 933,Болт с шестигранной головкой М8х30 DIN 933_НЕ_ИСПОЛЬЗУЕТСЯ,0.71
Болт оцинкованный М8х30 DIN 933,Болт с шестигранной головкой и полной резьбой М8х30 оцинкованный DIN 933,0.62

Болт оцинкованный М8х35 DIN 933,Болт с полной резьбой М8х35 оцинкованный DIN 933,0.71
Болт оцинкованный М8х35 DIN 933,Болт с шестигранной головкой и полной резьбой М8х35 DIN 933,0.62

Болт оцинкованный М8х80 DIN 933,Болт с шестигранной головкой и полной резьбой М8х80 оцинкованный DIN 933,0.62

Болт с внутренней шестигранной скрытой головкой М6х16 А2 нержавеющий DIN 7991,Винт М6х16 А2 нерж DIN 7991,0.5

Болт с внутренним шестигранником М12х120 А4 DIN 912,Болт с внутренним шестигранником М12х120 нержавеющий А4 DIN 912,0.86

Болт с внутренним шестигранником М12х50 нержавеющий А2 DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М12х50 А2 нержавеющий DIN 912,0.75
Болт с внутренним шестигранником М12х50 нержавеющий А2 DIN 912,Винт М12х50 А2 DIN 912 / ISO 4762,0.44

Болт с внутренним шестигранником М4х20 нержавеющий А2 DIN 912,Винт нерж А2 М4х20 DIN 912,0.5

Болт с внутренним шестигранником М4х30 нержавеющий А2 DIN 912,Винт М4х30 А2 DIN 912 / ISO 4762,0.44

Болт с внутренним шестигранником М6х16 А4 DIN 912,Болт с внутренним шестигранником М6х16 нержавеющий А4 DIN 912,0.86

Болт с внутренним шестигранником М8х100 нержавеющий А2 DIN 912,Винт с цилиндрической головкой и внутренним шестигранником М8х100 А2 нержавеющий DIN 912,0.56

Болт с полной резьбой М12х50 оцинкованный DIN 933,Болт с шестигранной головкой М12х50 DIN 933_НЕ_ИСПОЛЬЗУЕТСЯ,0.62

Болт с полной резьбой М14х70 DIN 933_НЕ_ИСПОЛЬЗУЕТСЯ,Болт с шестигранной головкой М14х70 DIN 933_НЕ_ИСПОЛЬЗУЕТСЯ,0.62

Болт с цилиндрической головкой и внутренним шестигранником М12х35 А2 нержавеющий DIN 912,Винт с цилиндрической головкой и внутренним шестигранником М12х35 А2 нержавеющий DIN 912,0.67

Болт с шестигранной головкой и полной резьбой M8х30 A2 DIN933_НЕ_ИСПОЛЬЗУЕТСЯ,Болт с шестигранной головкой и полной резьбой М8х30 А2 нержавеющий DIN 933,0.88

Болт с шестигранной головкой и полной резьбой М10х40 DIN 933,Болт с шестигранной головкой и полной резьбой М10х40 оцинкованный DIN 933,0.88

Болт с шестигранной головкой и полной резьбой М12х100 DIN 933,Болт с шестигранной головкой и полной резьбой М12х100 оцинкованный DIN 933 / ISO 4017,0.78

Болт с шестигранной головкой и полной резьбой М16х130 А4-80 DIN 933 / ISO 4017,Болт с шестигранной головкой и полной резьбой М16х130 А4-нерж DIN 933 / ISO 4017,0.89

Болт с шестигранной головкой и полной резьбой М16х60 Zn DIN 933 / ISO 4017,Болт с шестигранной головкой и полной резьбой М16х60 оцинкованный DIN 933 / ISO 4017_НЕ_ИСПОЛЬЗУЕТСЯ,0.89

Болт с шестигранной головкой и полной резьбой М24х80 DIN 933,Болт с шестигранной головкой и полной резьбой М24х80 DIN 933_НЕ_ИСПОЛЬЗУЕТСЯ,0.88

Болт с шестигранной головкой и полной резьбой М8х16 А2 нерж. DIN 933 / ISO 4017,Болт с шестигранной головкой и полной резьбой М8х16 А2 нержавеющий DIN 933,0.78

Винт DIN7985 8*25_НЕ_ИСПОЛЬЗУЕТСЯ,Винт М8х25 DIN 7985,0.83

Винт DIN7985 М3*10_НЕ_ИСПОЛЬЗУЕТСЯ,Винт М3х10 DIN 7985,0.83

Винт DIN7985 М3*12_НЕ_ИСПОЛЬЗУЕТСЯ,Винт М3х12 DIN 7985,0.83

Винт DIN7985 М4*12_НЕ_ИСПОЛЬЗУЕТСЯ,Винт М4х12 DIN 7985,0.83

Винт DIN7985 М4*30_НЕ_ИСПОЛЬЗУЕТСЯ,Винт М4х30 DIN 7985,0.83

Винт DIN7985 М4*8_НЕ_ИСПОЛЬЗУЕТСЯ,Винт М4х8 DIN 7985,0.83

Винт DIN7985 М5*25_НЕ_ИСПОЛЬЗУЕТСЯ,Винт М5х25 DIN 7985,0.83

Винт DIN7985 М5*35_НЕ_ИСПОЛЬЗУЕТСЯ,Винт М5х35 DIN 7985,0.83

Винт DIN7985 М6*16_НЕ_ИСПОЛЬЗУЕТСЯ,Винт М6х16 DIN 7985,0.83

Винт DIN7991 М4*40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт М4х40 DIN 7991 высокопрочный,0.83

Винт DIN912 М4*10_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М4х10 DIN 912,0.62

Винт DIN912 М5*35_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М5х35 DIN 912_НЕ_ИСПОЛЬЗУЕТСЯ,0.62

Винт DIN912 М5х40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М5х40 DIN 912,0.62

Винт DIN965 М3*10_НЕ_ИСПОЛЬЗУЕТСЯ,Винт оцинкованный М3х10 DIN 965,0.83

Винт DIN965 М6*30_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с потайной головкой М6х30 DIN 965,0.71

Винт А4 нерж М3х6 DIN 965,Винт нерж А4 М3х6 DIN 965,0.83

Винт М8х30 A2 DIN 7991,Винт с потайной головкой и внутренним шестигранником М8х30 А2 нержавеющий DIN 7991,0.62

Винт М8х50 А4 нержавеющий DIN 912 / ГОСТ 11738-84,Винт М8х50 А4-80 нержавеющий DIN 912 / ГОСТ 11738-84,0.86

Винт нерж А4 М3х12 DIN 7985,Винт с полукруглой головкой М3х12 из нержавеющей стали А4 DIN 7985,0.71

